10000,86443892,86443894,
10001,86443894,86443892,
10008,86443929,86443939,
10009,86443939,86443929,
10042,86443877,86443881,
10043,86443881,86443877,
10044,86443881,86443887,
10045,86443887,86443881,
10194,86443467,86443469,
10195,86443469,86443467,
10221,86443420,86443422,
10222,86443422,86443420,
10304,86486265,86444445,
10305,86444445,86486265,
10367,86430101,86444335,
10368,86444335,86430101,
10391,86432289,86444315,
10392,86444315,86432289,
10395,86444139,86444182,
10396,86444182,86444139,
10397,86444182,86444231,
10398,86444231,86444182,
10409,86444232,5383262886,
10410,5383262886,86444232,
104115,86370139,86370151,
104116,86370151,86370139,
104117,86370151,5382279700,
104118,5382279700,86370151,
104119,5382279700,86370157,
104120,86370157,5382279700,
104121,86370157,5382279704,
104122,5382279704,86370157,
104123,5382279704,86370172,
104124,86370172,5382279704,
104125,86370177,86370179,
104126,86370179,86370177,
10415,86431929,5600341854,
10416,5600341854,86431929,
10431,86445431,86445436,
104310,86370389,86370395,
104311,86370395,86370389,
10432,86445436,86445431,
10435,86445402,86445425,
10436,86445425,86445402,
104370,86375457,86375459,
104371,86375459,86375457,
104394,86375095,86375103,
104395,86375103,86375095,
104396,86375103,86375113,
104397,86375113,86375103,
104422,86374869,86374909,
104423,86374909,86374869,
104433,86375826,86375832,
104434,86375832,86375826,
104439,86375852,86375854,
104440,86375854,86375852,
104443,86375817,86375819,
104444,86375819,86375817,
104445,86375819,86375821,
104446,86375821,86375819,
104447,86375824,86375819,
104448,86375819,86375824,
10445,86445442,86441505,
10446,86441505,86445442,
10447,86441505,86445448,
104476,86376907,86376916,
104477,86376916,86376907,
104478,86376920,86376922,
104479,86376922,86376920,
10448,86445448,86441505,
104480,86376922,86376924,
104481,86376924,86376922,
104601,86377562,86377571,
104602,86377571,86377562,
104603,86377571,86377575,
104604,86377575,86377571,
104681,86377055,86377105,
104682,86377105,86377055,
104693,86371542,86371548,
104694,86371548,86371542,
10472,86396753,86445395,
10473,86445395,86396753,
104741,86370818,86370823,
104742,86370823,86370818,
104773,86372500,86372521,
104774,86372521,86372500,
104866,86373060,86373064,
104867,86373064,86373060,
104868,86373068,86373060,
104869,86373060,86373068,
104872,86373016,86373017,
104873,86373017,86373016,
104880,86373047,86373049,
104881,86373049,86373047,
104896,86372728,86372732,
104897,86372732,86372728,
104944,86373873,86373880,
104945,86373880,86373873,
104946,3373238712,3373238702,
104947,3373238702,3373238712,
104950,3373238716,3373238715,
104951,3373238715,3373238716,
104952,3373238715,3373238717,
104953,3373238717,3373238715,
104954,3373238717,3373238723,
104955,3373238723,3373238717,
104956,3373238723,3373238718,
104957,3373238718,3373238723,
104958,3373238718,3373238715,
104959,3373238715,3373238718,
104970,86373819,86373846,
104971,86373846,86373819,
104980,86373662,86373680,
104981,86373680,86373662,
104982,86373680,86373745,
104983,86373745,86373680,
105084,86382042,86382046,
105085,86382046,86382042,
10509,86445244,86445246,
10510,86445246,86445244,
10511,86445246,86418923,
10512,86418923,86445246,
10513,86418923,86445256,
10514,86445256,86418923,
10515,86445256,5221989967,
10516,5221989967,86445256,
105174,86382627,86382629,
105175,86382629,86382627,
105176,86382633,86382641,
105177,86382641,86382633,
10519,86445110,86445116,
10520,86445116,86445110,
10521,86445116,86445137,
10522,86445137,86445116,
10523,86445137,86445146,
10524,86445146,86445137,
105246,86383167,86383169,
105247,86383169,86383167,
105281,86378350,86378354,
105282,86378354,86378350,
105371,86379042,86379043,
105372,86379043,86379042,
105425,86378564,86378698,
105426,86378698,86378564,
105438,86378529,86378559,
